127.0.0.1 - - [15/Jun/2016:14:06:45 +0900] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/chap8/index.html HTTP/1.1" 200 389
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/chap8/left_Frame.jsp HTTP/1.1" 200 2157
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/chap8/style.css HTTP/1.1" 200 539
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/index.jsp HTTP/1.1" 200 11452
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/tomcat.css HTTP/1.1" 200 5926
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/asf-logo.png HTTP/1.1" 200 17811
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /jsp/tomcat/bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [15/Jun/2016:14:07:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [15/Jun/2016:14:07:27 +0900] "GET /jsp/chap8/insert.html HTTP/1.1" 200 9987
127.0.0.1 - - [15/Jun/2016:14:07:36 +0900] "GET /jsp/chap8/userid_check.jsp?userid=minsu HTTP/1.1" 500 1161
127.0.0.1 - - [15/Jun/2016:14:08:07 +0900] "GET /jsp/chap8/userid_check.jsp?userid=minsu HTTP/1.1" 200 2383
127.0.0.1 - - [15/Jun/2016:14:08:27 +0900] "GET /jsp/chap8/zipcode_search.jsp HTTP/1.1" 200 1288
127.0.0.1 - - [15/Jun/2016:14:08:31 +0900] "POST /jsp/chap8/zipcode_search.jsp HTTP/1.1" 200 16328
127.0.0.1 - - [15/Jun/2016:14:08:41 +0900] "POST /jsp/chap8/insert.jsp HTTP/1.1" 200 2118
127.0.0.1 - - [15/Jun/2016:14:08:41 +0900] "GET /jsp/chap8/image/sky_bar.gif HTTP/1.1" 200 1121
127.0.0.1 - - [15/Jun/2016:14:08:46 +0900] "GET /jsp/chap8/left_Frame.jsp HTTP/1.1" 200 2157
127.0.0.1 - - [15/Jun/2016:14:08:46 +0900] "GET /jsp/tomcat/index.jsp HTTP/1.1" 200 11452
127.0.0.1 - - [15/Jun/2016:14:08:57 +0900] "POST /jsp/chap8/login_process.jsp HTTP/1.1" 302 -
127.0.0.1 - - [15/Jun/2016:14:08:57 +0900] "GET /jsp/chap8/left_Frame.jsp HTTP/1.1" 200 1086
127.0.0.1 - - [15/Jun/2016:14:09:00 +0900] "GET /jsp/chap8/admin.jsp HTTP/1.1" 200 935
127.0.0.1 - - [15/Jun/2016:14:09:05 +0900] "POST /jsp/chap8/admin.jsp HTTP/1.1" 302 -
127.0.0.1 - - [15/Jun/2016:14:09:05 +0900] "GET /jsp/chap8/select_all.jsp HTTP/1.1" 200 1239
127.0.0.1 - - [15/Jun/2016:14:10:23 +0900] "GET /jsp/chap8/index.html HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2016:14:10:23 +0900] "GET /jsp/chap8/left_Frame.jsp HTTP/1.1" 200 1086
127.0.0.1 - - [15/Jun/2016:14:10:23 +0900] "GET /jsp/tomcat/index.jsp HTTP/1.1" 200 11452
127.0.0.1 - - [15/Jun/2016:14:10:23 +0900] "GET /jsp/chap8/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2016:14:10:23 +0900] "GET /jsp/tomcat/tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2016:14:10:23 +0900] "GET /jsp/tomcat/tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2016:14:10:24 +0900] "GET /jsp/chap8/admin.jsp HTTP/1.1" 200 935
127.0.0.1 - - [15/Jun/2016:14:10:29 +0900] "POST /jsp/chap8/admin.jsp HTTP/1.1" 200 935
127.0.0.1 - - [15/Jun/2016:14:10:34 +0900] "POST /jsp/chap8/admin.jsp HTTP/1.1" 302 -
